  nu       n         k        t       tcal
       1880.1090       1.3554606    0.0029252564       1.0594245       1.0594245
       1880.3501       1.3554453    0.0028957802       1.0594879       1.0594879
       1880.5912       1.3554366    0.0028896602       1.0595074       1.0595075
       1880.8323       1.3554328    0.0028460415       1.0595977       1.0595977
       1881.0734       1.3554650    0.0027897596       1.0597124       1.0597124
       1881.3145       1.3554927    0.0028343908       1.0596367       1.0596368
       1881.5556       1.3554841    0.0028489797       1.0596172       1.0596173
       1881.7967       1.3554736    0.0028299142       1.0596611       1.0596612
       1882.0378       1.3554692    0.0028121911       1.0597026       1.0597026
       1882.2789       1.3554722    0.0027777135       1.0597758       1.0597759
       1882.5200       1.3554876    0.0027459216       1.0598441       1.0598442
       1882.7611       1.3555182    0.0027103706       1.0599198       1.0599198
       1883.0022       1.3555650    0.0026969245       1.0599540       1.0599540
       1883.2433       1.3556019    0.0027364029       1.0598881       1.0598881
       1883.4844       1.3556070    0.0027820972       1.0598100       1.0598100
       1883.7255       1.3555978    0.0027927833       1.0597978       1.0597978
       1883.9666       1.3555851    0.0028073154       1.0597782       1.0597783
       1884.2077       1.3555620    0.0028101393       1.0597807       1.0597807
       1884.4488       1.3555502    0.0027691243       1.0598661       1.0598661
       1884.6899       1.3555479    0.0027604777       1.0598905       1.0598905
       1884.9310       1.3555481    0.0027221479       1.0599710       1.0599711
       1885.1721       1.3555813    0.0026685734       1.0600809       1.0600809
       1885.4132       1.3556037    0.0027220904       1.0599881       1.0599882
       1885.6543       1.3555944    0.0027133986       1.0600125       1.0600126
       1885.8954       1.3556037    0.0026764471       1.0600906       1.0600907
       1886.1365       1.3556287    0.0026718814       1.0601077       1.0601078
       1886.3776       1.3556384    0.0027007543       1.0600613       1.0600614
       1886.6187       1.3556231    0.0027152453       1.0600418       1.0600419
       1886.8598       1.3556057    0.0026871450       1.0601028       1.0601029
       1887.1009       1.3556060    0.0026436998       1.0601932       1.0601932
       1887.3420       1.3556362    0.0025888741       1.0603055       1.0603055
       1887.5831       1.3556732    0.0026011649       1.0602908       1.0602909
       1887.8242       1.3556921    0.0026094518       1.0602835       1.0602835
       1888.0653       1.3557068    0.0026086808       1.0602933       1.0602933
       1888.3064       1.3557234    0.0026092106       1.0603006       1.0603006
       1888.5475       1.3557397    0.0026187587       1.0602908       1.0602909
       1888.7886       1.3557367    0.0026552266       1.0602298       1.0602298
       1889.0297       1.3557196    0.0026451983       1.0602566       1.0602567
       1889.2708       1.3557248    0.0026044103       1.0603421       1.0603421
       1889.5119       1.3557430    0.0026075211       1.0603445       1.0603446
       1889.7530       1.3557456    0.0026233981       1.0603226       1.0603226
       1889.9941       1.3557421    0.0026121837       1.0603519       1.0603519
       1890.2352       1.3557422    0.0026061460       1.0603714       1.0603714
       1890.4763       1.3557337    0.0026051982       1.0603812       1.0603812
       1890.7174       1.3557289    0.0025643694       1.0604666       1.0604667
       1890.9585       1.3557522    0.0025134519       1.0605716       1.0605717
       1891.1996       1.3557848    0.0025115152       1.0605838       1.0605839
       1891.4407       1.3558173    0.0024967084       1.0606205       1.0606205
       1891.6818       1.3558488    0.0025192072       1.0605863       1.0605863
       1891.9229       1.3558497    0.0025659257       1.0605057       1.0605057
       1892.1640       1.3558394    0.0025482412       1.0605472       1.0605472
       1892.4051       1.3558506    0.0025255655       1.0605985       1.0605985
       1892.6462       1.3558717    0.0025286809       1.0606009       1.0606010
       1892.8873       1.3558738    0.0025663764       1.0605374       1.0605375
       1893.1285       1.3558525    0.0025730461       1.0605325       1.0605326
       1893.3696       1.3558395    0.0025360665       1.0606107       1.0606107
       1893.6107       1.3558537    0.0024954288       1.0606962       1.0606962
       1893.8518       1.3558705    0.0025036492       1.0606888       1.0606889
       1894.0929       1.3558759    0.0024950841       1.0607133       1.0607133
       1894.3340       1.3558776    0.0024877796       1.0607352       1.0607353
       1894.5751       1.3558905    0.0024458694       1.0608232       1.0608232
       1894.8162       1.3559287    0.0024195558       1.0608818       1.0608819
       1895.0573       1.3559582    0.0024548276       1.0608232       1.0608232
       1895.2984       1.3559647    0.0024693867       1.0608036       1.0608037
       1895.5395       1.3559610    0.0024800200       1.0607914       1.0607915
       1895.7806       1.3559654    0.0024521939       1.0608525       1.0608525
       1896.0217       1.3559754    0.0024603500       1.0608452       1.0608452
       1896.2628       1.3559721    0.0024568618       1.0608598       1.0608599
       1896.5039       1.3559968    0.0023906898       1.0609942       1.0609942
       1896.7450       1.3560510    0.0024029933       1.0609795       1.0609796
       1896.9861       1.3560649    0.0024868553       1.0608281       1.0608281
       1897.2272       1.3560393    0.0025088639       1.0607939       1.0607939
       1897.4683       1.3560076    0.0025115869       1.0607963       1.0607964
       1897.7094       1.3559834    0.0024720425       1.0608794       1.0608794
       1897.9505       1.3559867    0.0024147420       1.0609966       1.0609967
       1898.1916       1.3560174    0.0023717411       1.0610870       1.0610871
       1898.4327       1.3560610    0.0023608809       1.0611163       1.0611164
       1898.6738       1.3560863    0.0023986002       1.0610528       1.0610529
       1898.9149       1.3560942    0.0024015925       1.0610553       1.0610553
       1899.1560       1.3560998    0.0024135359       1.0610406       1.0610406
       1899.3971       1.3560993    0.0024151861       1.0610455       1.0610455
       1899.6382       1.3561037    0.0024027763       1.0610772       1.0610773
       1899.8793       1.3561175    0.0023981153       1.0610943       1.0610944
       1900.1204       1.3561086    0.0024419668       1.0610186       1.0610187
       1900.3615       1.3560743    0.0024228973       1.0610626       1.0610626
       1900.6026       1.3560844    0.0023209073       1.0612654       1.0612654
       1900.8437       1.3561349    0.0023075358       1.0612996       1.0612996
       1901.0848       1.3561686    0.0023324522       1.0612605       1.0612605
       1901.3259       1.3561776    0.0023584770       1.0612190       1.0612190
       1901.5670       1.3561701    0.0023664721       1.0612116       1.0612117
       1901.8081       1.3561678    0.0023373950       1.0612752       1.0612752
       1902.0492       1.3561888    0.0023020804       1.0613509       1.0613510
       1902.2903       1.3562276    0.0022924703       1.0613778       1.0613778
       1902.5314       1.3562513    0.0023364748       1.0613020       1.0613021
       1902.7725       1.3562518    0.0023560211       1.0612727       1.0612728
       1903.0136       1.3562382    0.0023805837       1.0612336       1.0612337
       1903.2547       1.3562091    0.0023769148       1.0612483       1.0612483
       1903.4958       1.3562087    0.0023005730       1.0614022       1.0614023
       1903.7369       1.3562386    0.0022896249       1.0614316       1.0614316
       1903.9780       1.3562433    0.0023168520       1.0613876       1.0613876
       1904.2191       1.3562353    0.0022813822       1.0614633       1.0614634
       1904.4602       1.3562673    0.0022091282       1.0616100       1.0616100
       1904.7013       1.3563231    0.0022149624       1.0616076       1.0616076
       1904.9424       1.3563469    0.0022665661       1.0615171       1.0615172
       1905.1835       1.3563551    0.0022605902       1.0615367       1.0615367
       1905.4246       1.3563655    0.0022801646       1.0615073       1.0615074
       1905.6657       1.3563625    0.0022932649       1.0614902       1.0614903
       1905.9068       1.3563564    0.0022846406       1.0615147       1.0615147
       1906.1479       1.3563597    0.0022620367       1.0615660       1.0615660
       1906.3890       1.3563781    0.0022382558       1.0616198       1.0616198
       1906.6301       1.3564052    0.0022349505       1.0616344       1.0616345
       1906.8712       1.3564259    0.0022545684       1.0616051       1.0616052
       1907.1123       1.3564239    0.0022893455       1.0615464       1.0615465
       1907.3534       1.3564012    0.0022946473       1.0615440       1.0615440
       1907.5945       1.3563864    0.0022528093       1.0616320       1.0616320
       1907.8356       1.3564053    0.0021946137       1.0617518       1.0617518
       1908.0767       1.3564424    0.0021849942       1.0617787       1.0617787
